Date,Sales
13-01-2014,333.999
14-01-2014,61.96
19-01-2014,181.47
26-01-2014,141.96
31-01-2014,290.666
03-03-2014,302.45
18-03-2014,1198.33
30-03-2014,205.666
12-04-2014,308.499
10-05-2014,349.965
26-05-2014,290.666
04-06-2014,353.568
14-06-2014,212.94
20-06-2014,193.0656
09-07-2014,119.833
30-07-2014,1367.84
08-08-2014,155.456
19-08-2014,638.82
20-09-2014,362.94
20-09-2014,493.43
20-09-2014,801.568
23-09-2014,435.999
25-09-2014,300.5328
28-10-2014,616.998
09-11-2014,222.666
11-11-2014,521.96
12-11-2014,67.9932
16-11-2014,305.9745
17-11-2014,4007.84
18-11-2014,424.116
19-11-2014,1025.88
25-11-2014,275.952
28-11-2014,411.332
02-12-2014,883.92
12-12-2014,254.9745
31-12-2014,1573.488
31-12-2014,341.96
02-01-2015,452.45
03-01-2015,1352.3976
06-02-2015,283.92
01-03-2015,1227.9984
08-03-2015,512.94
13-03-2015,141.96
19-03-2015,383.4656
24-03-2015,359.058
05-04-2015,352.45
16-04-2015,523.26
14-05-2015,509.9575
31-05-2015,1406.86
28-06-2015,482.94
06-07-2015,301.96
14-07-2015,127.764
17-07-2015,195.466
17-07-2015,231.92
20-07-2015,384.944
20-07-2015,913.43
25-07-2015,704.9
06-08-2015,369.1992
09-08-2015,687.4
16-08-2015,301.47
21-08-2015,586.398
28-08-2015,307.666
31-08-2015,1552.831
05-09-2015,411.332
05-09-2015,293.199
10-09-2015,361.96
15-09-2015,46.384
17-09-2015,3083.43
17-09-2015,4228.704
17-09-2015,2003.92
19-09-2015,61.96
21-09-2015,194.32
03-10-2015,35.49
03-10-2015,120.666
05-10-2015,66.294
12-10-2015,899.136
12-10-2015,626.352
31-10-2015,425.833
02-11-2015,512.499
08-11-2015,4404.9
13-11-2015,299.97
13-11-2015,613.9992
13-11-2015,683.332
20-11-2015,186.048
20-11-2015,290.352
20-11-2015,145.764
21-11-2015,141.96
21-11-2015,246.1328
27-11-2015,170.98
30-11-2015,681.408
03-12-2015,359.499
11-12-2015,69.576
20-12-2015,359.058
24-12-2015,590.058
25-12-2015,160.98
25-12-2015,449.568
27-12-2015,532.3992
27-12-2015,131.104
02-01-2016,173.94
08-01-2016,1565.88
22-01-2016,451.136
30-01-2016,48.58
05-02-2016,239.98
10-03-2016,176.784
14-03-2016,241.332
19-03-2016,72.294
24-03-2016,301.47
29-03-2016,299.975
08-04-2016,388.704
08-04-2016,354.9
09-04-2016,556.665
17-04-2016,257.499
04-06-2016,136.784
14-06-2016,599.165
17-06-2016,239.666
21-06-2016,353.568
30-06-2016,1266.86
04-07-2016,1279.165
14-07-2016,579.136
19-07-2016,504.9
28-07-2016,177.45
13-08-2016,241.96
28-08-2016,156.3728
29-08-2016,163.88
03-09-2016,344.94
03-09-2016,198.744
06-09-2016,722.352
08-09-2016,2396.2656
08-09-2016,173.94
16-09-2016,273.666
20-09-2016,163.88
25-09-2016,477.666
26-09-2016,424.9575
27-09-2016,956.6648
30-09-2016,523.92
10-10-2016,90.882
17-10-2016,120.666
17-10-2016,120.98
21-10-2016,1043.92
05-11-2016,956.6648
08-11-2016,261.96
10-11-2016,341.96
20-11-2016,86.97
20-11-2016,289.568
21-11-2016,113.568
24-11-2016,339.92
26-11-2016,3406.664
02-12-2016,781.864
03-12-2016,205.666
05-12-2016,81.94
08-12-2016,405.86
23-12-2016,141.372
13-01-2017,212.94
21-01-2017,84.98
06-02-2017,359.97
06-02-2017,240.784
10-02-2017,203.983
17-02-2017,89.0664
25-02-2017,231.92
02-03-2017,441.96
26-03-2017,257.568
27-03-2017,1023.332
31-03-2017,205.3328
01-04-2017,482.664
14-04-2017,242.352
14-04-2017,198.272
16-04-2017,102.833
23-04-2017,387.136
25-04-2017,344.981
27-04-2017,220.2656
01-05-2017,314.352
05-05-2017,89.991
06-05-2017,623.4648
11-05-2017,209.979
18-05-2017,302.94
19-05-2017,1628.82
28-05-2017,115.96
30-05-2017,241.96
30-05-2017,204.6664
03-06-2017,241.568
08-06-2017,1497.666
10-06-2017,514.165
11-06-2017,174.42
15-06-2017,77.728
18-06-2017,917.9235
25-06-2017,400.784
29-06-2017,638.82
29-06-2017,409.9992
30-06-2017,435.999
07-07-2017,87.21
17-07-2017,1194.165
21-07-2017,302.94
29-07-2017,115.96
03-08-2017,183.372
06-08-2017,145.74
25-08-2017,130.98
03-09-2017,239.666
04-09-2017,825.174
15-09-2017,782.94
17-09-2017,1292.94
19-09-2017,72.588
22-09-2017,241.96
23-09-2017,180.588
02-10-2017,217.764
07-10-2017,307.666
09-10-2017,314.352
12-10-2017,2154.9
19-10-2017,328.3992
27-10-2017,556.665
30-10-2017,199.98
13-11-2017,205.9992
17-11-2017,327.7328
20-11-2017,183.968
24-11-2017,321.568
25-11-2017,359.499
25-11-2017,723.92
01-12-2017,141.96
02-12-2017,242.352
08-12-2017,1336.829
08-12-2017,459.92
09-12-2017,148.257
13-12-2017,287.976
18-12-2017,119.833
19-12-2017,102.018
22-12-2017,220.98
25-12-2017,191.984
28-12-2017,78.8528
30-12-2017,323.136
