Date,Sales
27-01-2014,333
11-02-2014,1256.22
01-03-2014,376.509
03-03-2014,626.352
17-03-2014,1579.746
17-03-2014,1071.576
17-03-2014,613.908
28-03-2014,1184.72
28-03-2014,330.588
29-03-2014,890.841
06-04-2014,154.764
06-04-2014,653.55
08-04-2014,1215.92
08-04-2014,99.592
08-04-2014,172.11
20-04-2014,744.1
20-04-2014,401.59
07-05-2014,194.25
12-05-2014,700.056
27-05-2014,567.12
30-05-2014,355.455
03-06-2014,515.88
06-06-2014,991.764
07-06-2014,268.935
09-06-2014,1706.184
09-06-2014,1441.3
15-06-2014,99.918
25-06-2014,447.84
27-06-2014,85.98
08-07-2014,502.488
12-07-2014,698.352
13-07-2014,351.216
19-07-2014,70.56
21-07-2014,272.848
22-07-2014,170.352
03-08-2014,218.75
05-08-2014,489.23
16-08-2014,853.092
27-08-2014,1202.94
29-08-2014,174.0585
07-09-2014,200.795
07-09-2014,429.9
14-09-2014,464.292
19-09-2014,73.915
20-09-2014,617.7
29-09-2014,409.272
29-09-2014,67.176
29-09-2014,2348.82
03-10-2014,143.432
13-10-2014,1298.55
20-10-2014,328.59
21-10-2014,409.59
21-10-2014,591.32
31-10-2014,385.686
31-10-2014,1421.664
03-11-2014,945.036
04-11-2014,573.728
12-11-2014,629.064
18-11-2014,145.98
18-11-2014,292.1
18-11-2014,730.2
25-11-2014,1218.735
06-12-2014,275.49
06-12-2014,214.95
12-12-2014,764.688
12-12-2014,3610.848
14-12-2014,136.53
20-12-2014,2244.48
20-12-2014,455.1
23-12-2014,53.316
30-12-2014,523.764
10-01-2015,1018.104
19-01-2015,102.438
28-01-2015,4297.644
18-02-2015,35.544
27-02-2015,493.92
02-03-2015,787.53
16-03-2015,171.96
26-03-2015,3393.68
09-04-2015,369.912
13-04-2015,710.832
13-04-2015,241.568
13-04-2015,609.98
13-04-2015,211.372
26-04-2015,191.5155
07-05-2015,244.006
22-06-2015,796.425
11-07-2015,199.836
25-07-2015,358.58
26-07-2015,393.165
31-07-2015,1090.782
01-08-2015,1004.976
02-08-2015,277.5
09-08-2015,622.45
09-08-2015,382.806
24-08-2015,918.785
24-08-2015,284.364
28-08-2015,103.481
06-09-2015,85.98
07-09-2015,27.414
07-09-2015,481.176
14-09-2015,912.75
14-09-2015,170.136
15-09-2015,801.96
17-09-2015,344.22
25-09-2015,1044.63
11-10-2015,957.5775
12-10-2015,209.67
20-10-2015,364.776
24-10-2015,347.361
25-10-2015,253.176
01-11-2015,301.96
02-11-2015,1038.84
09-11-2015,1024.38
16-11-2015,214.11
16-11-2015,653.55
16-11-2015,696.42
21-11-2015,1252.704
22-11-2015,206.962
27-11-2015,375.4575
27-11-2015,446.068
01-12-2015,1913.4
10-12-2015,801.96
11-12-2015,364.95
14-12-2015,273.568
19-12-2015,1053.164
21-12-2015,1618.37
26-12-2015,51.588
27-12-2015,1548.99
03-01-2016,1592.85
15-01-2016,181.797
25-01-2016,313.722
30-01-2016,626.1
05-02-2016,557.728
14-02-2016,550.431
01-03-2016,836.592
03-03-2016,637.896
06-03-2016,145.98
11-03-2016,244.006
13-03-2016,557.585
18-03-2016,189.882
20-03-2016,697.16
21-03-2016,99.372
12-04-2016,343.92
19-04-2016,205.176
22-04-2016,1272.63
01-05-2016,370.62
05-05-2016,298.776
05-05-2016,71.088
05-05-2016,1685.88
22-05-2016,174.286
30-05-2016,2275.5
03-06-2016,71.088
04-06-2016,177.225
09-06-2016,692.94
10-06-2016,1335.68
11-06-2016,902.712
14-06-2016,1293.488
14-06-2016,337.176
14-06-2016,1115.17
17-06-2016,376.866
25-07-2016,2430.08
31-07-2016,863.128
02-08-2016,136.464
08-08-2016,513.024
12-08-2016,562.2925
