Date,Sales
20-01-2014,1067.94
11-02-2014,60.89
12-02-2014,129.568
01-03-2014,457.568
01-03-2014,634.116
01-03-2014,362.25
07-03-2014,48.712
07-03-2014,436.704
07-03-2014,481.568
14-03-2014,1139.92
21-03-2014,218.376
22-03-2014,314.352
25-03-2014,366.786
30-03-2014,127.302
31-03-2014,1125.488
18-04-2014,317.058
23-04-2014,281.372
23-04-2014,281.372
25-04-2014,1487.04
26-04-2014,230.28
29-04-2014,51.96
29-04-2014,561.584
05-05-2014,127.869
07-05-2014,872.32
10-05-2014,256.784
11-05-2014,1212.96
13-05-2014,279.456
16-05-2014,232.88
21-05-2014,107.772
26-05-2014,225.296
26-05-2014,359.772
01-06-2014,2001.86
08-06-2014,585.552
08-06-2014,170.352
15-06-2014,797.944
16-06-2014,647.84
22-06-2014,170.058
22-06-2014,853.93
28-06-2014,1228.465
06-07-2014,478.48
07-07-2014,172.186
08-07-2014,63.882
11-07-2014,854.94
12-07-2014,123.136
12-07-2014,512.358
18-07-2014,259.136
20-07-2014,981.372
21-07-2014,801.568
21-07-2014,657.93
22-07-2014,717.72
26-07-2014,674.352
26-07-2014,67.88
05-08-2014,340.144
05-08-2014,1133.35
15-08-2014,195.136
20-08-2014,421.372
20-08-2014,500.24
07-09-2014,161.96
08-09-2014,1740.06
08-09-2014,975.92
08-09-2014,966.7
08-09-2014,172.764
09-09-2014,785.88
10-09-2014,1487.04
12-09-2014,3785.292
13-09-2014,340.116
19-09-2014,887.103
20-09-2014,631.782
22-09-2014,579.528
26-09-2014,145.568
26-09-2014,585.552
27-09-2014,603.92
03-10-2014,258.279
03-10-2014,122.352
04-10-2014,589.41
10-10-2014,122.352
11-10-2014,433.568
13-10-2014,245.98
14-10-2014,1628.82
15-10-2014,183.372
18-10-2014,545.88
18-10-2014,605.34
31-10-2014,146.352
31-10-2014,1604.9
04-11-2014,135.882
05-11-2014,149.9
07-11-2014,683.144
10-11-2014,563.94
11-11-2014,603.92
11-11-2014,112.648
11-11-2014,797.944
14-11-2014,69.264
16-11-2014,37.296
17-11-2014,479.9
17-11-2014,657.93
18-11-2014,392.94
23-11-2014,603.92
23-11-2014,381.44
23-11-2014,155.372
24-11-2014,120.712
24-11-2014,611.058
25-11-2014,725.344
01-12-2014,2807.84
01-12-2014,909.72
01-12-2014,674.058
02-12-2014,239.84
08-12-2014,603.92
10-12-2014,338.352
14-12-2014,186.304
15-12-2014,763.28
15-12-2014,445.802
16-12-2014,241.568
16-12-2014,1013.832
16-12-2014,1403.92
19-12-2014,1819.86
20-12-2014,662.88
20-12-2014,242.352
20-12-2014,192.186
21-12-2014,1325.76
21-12-2014,572.16
23-12-2014,64.784
24-12-2014,292.272
26-12-2014,600.558
26-12-2014,230.352
27-12-2014,230.28
27-12-2014,767.214
